tconst	name	date	prod_budget	domestic_gross	worldwide_gross	startYear	runtimeMinutes	Action	Adventure	Drama	Fantasy	Sci-Fi	Thriller	Animation	Comedy	Family	Crime	Horror	History	Romance	Mystery	Musical	Documentary
tt4154796	Avengers: Endgame	2019	400000000	858373000	2797800564	2019	181	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
tt1298650	Pirates of the Caribbean: On Stranger Tides	2011	379000000	241063875	1045663875	2011	136	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tt2395427	Avengers: Age of Ultron	2015	365000000	459005868	1403013963	2015	141	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tt4154756	Avengers: Infinity War	2018	300000000	678815482	2048359754	2018	149	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tt0974015	Justice League	2017	300000000	229024295	655945209	2017	120	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tt2379713	Spectre	2015	300000000	200074175	879620923	2015	148	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
tt3778644	Solo: A Star Wars Story	2018	275000000	213767512	393151347	2018	135	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tt0401729	John Carter	2012	263700000	73058679	282778100	2012	132	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tt2975590	Batman v Superman: Dawn of Justice	2016	263000000	330360194	873634919	2016	151	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tt6105098	The Lion King	2019	260000000	543638043	1656943394	2019	118	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
tt0398286	Tangled	2010	260000000	200821936	585727091	2010	100	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
tt0413300	Spider-Man 3	2007	258000000	336530303	894860230	2007	139	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tt3498820	Captain America: Civil War	2016	250000000	408084349	1153284349	2016	147	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tt0417741	Harry Potter and the Half-Blood Prince	2009	250000000	302089278	935213767	2009	153	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
tt1170358	The Hobbit: The Desolation of Smaug	2013	250000000	258241522	960241522	2013	161	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tt2310332	The Hobbit: The Battle of the Five Armies	2014	250000000	255119788	945577621	2014	144	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tt4630562	The Fate of the Furious	2017	250000000	225764765	1238764765	2017	136	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
tt1775309	Avatar	2009	237000000	760507625	2788701337	2011	93	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tt0348150	Superman Returns	2006	232000000	200120000	391081192	2006	154	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tt1345836	The Dark Knight Rises	2012	230000000	448139099	1084439099	2012	164	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tt1790809	Pirates of the Caribbean: Dead Men Tell No Tales	2017	230000000	172558876	788241137	2017	129	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tt0830515	Quantum of Solace	2008	230000000	169368427	591692078	2008	106	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
tt0848228	The Avengers	2012	225000000	623357910	1518812988	2012	143	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tt0770828	Man of Steel	2013	225000000	291045518	667999518	2013	143	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tt0499448	The Chronicles of Narnia: Prince Caspian	2008	225000000	141621490	417341288	2008	150	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
tt1210819	The Lone Ranger	2013	225000000	89302115	260002115	2013	150	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
tt0948470	The Amazing Spider-Man	2012	220000000	262030663	757890267	2012	136	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tt1440129	Battleship	2012	220000000	65233400	313477717	2012	131	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tt3371366	Transformers: The Last Knight	2017	217000000	130168683	602893340	2017	154	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tt0369610	Jurassic World	2015	215000000	652270625	1670400637	2015	124	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tt1409024	Men in Black 3	2012	215000000	179020854	654213485	2012	106	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
tt1055369	Transformers: Revenge of the Fallen	2009	210000000	402111870	836519699	2009	149	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tt2109248	Transformers: Age of Extinction	2014	210000000	245439076	1104054072	2014	165	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tt0376994	X-Men: The Last Stand	2006	210000000	234362462	459260946	2006	104	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
